Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
7E0A0011,77,50,Ani Akım Koruma,Tespit Edildi,81. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,78,50,Ani Akım Koruma,Tespit Edildi,82. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,79,60,Gerilim/Frekans Dengesizlik,Tespit Edildi,83. 60     | Gerilim/Frekans Dengesizlik    | Tespit Edildi
7E0A0011,80,50,Ani Akım Koruma,Tespit Edildi,84. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,81,50,Ani Akım Koruma,Tespit Edildi,85. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,82,50,Ani Akım Koruma,Tespit Edildi,86. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,83,50,Ani Akım Koruma,Tespit Edildi,87. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,84,50,Ani Akım Koruma,Tespit Edildi,88. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,85,50,Ani Akım Koruma,Tespit Edildi,89. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,86,50,Ani Akım Koruma,Tespit Edildi,90. 50     | Ani Akım Koruma                | Tespit Edildi
